sample_id,waste_type,data_source,paper_ref_no,cement_kg_m3,water_cement_ratio,curing_days,rac_%,rcwtb_%,ceramic_%,plastic_%,total_replacement_%,compressive_strength_mpa,flexural_strength_mpa,split_tensile_strength_mpa,chloride_penetration_mm,marine_durability_score,co2_emission_kg_m3,cost_usd_m3
11,Ceramic,augmented_literature_based,This study (synthetic augmentation),340.7,0.511,28.0,43.3,0.0,20.5,0.0,63.8,47.8,6.28,4.02,19.82,6.9,225.1,44.3
12,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.35,28.0,0.0,0.0,0.0,0.0,0.0,74.4,9.0,6.0,8.78,8.1,311.5,70.1
13,RAC,real,See Table 3 (compiled sources),380.0,0.58,28.0,100.0,0.0,0.0,0.0,100.0,40.2,4.8,3.49,29.11,3.7,217.1,30.9
14,RAC,real,See Table 3 (compiled sources),500.0,0.36,28.0,0.0,0.0,0.0,0.0,0.0,48.4,6.03,4.54,11.32,8.0,412.0,75.9
15,RAC,real,"Hoang 2024, Mathematics (Ref 9)",275.0,0.662,3.0,50.0,0.0,0.0,0.0,50.0,23.5,2.97,1.6,28.6,3.7,176.1,27.4
16,RAC,real,See Table 3 (compiled sources),410.0,0.5,1.0,19.5,0.0,0.0,0.0,19.5,18.5,2.0,1.68,23.37,5.2,319.8,45.3
17,RAC,real,See Table 3 (compiled sources),500.0,0.34,56.0,1.0,0.0,0.0,0.0,1.0,70.5,8.76,6.0,8.79,8.6,411.2,81.8
18,RAC,real,See Table 3 (compiled sources),500.0,0.33,3.0,1.0,0.0,0.0,0.0,1.0,38.4,4.46,3.44,13.63,7.2,397.6,76.9
19,RAC,real,See Table 3 (compiled sources),400.0,0.4,28.0,100.0,0.0,0.0,0.0,100.0,58.5,6.79,5.3,20.36,5.8,242.8,36.7
20,RAC,real,See Table 3 (compiled sources),280.0,0.46,28.0,1.0,0.0,0.0,0.0,1.0,43.9,5.11,4.2,15.72,7.0,219.0,46.7
21,RAC,real,See Table 3 (compiled sources),300.0,0.55,28.0,0.0,0.0,0.0,0.0,0.0,38.0,5.24,3.55,19.3,6.0,245.0,47.9
22,RAC,real,See Table 3 (compiled sources),330.0,0.54,3.0,1.0,0.0,0.0,0.0,1.0,23.2,2.9,1.91,22.28,5.1,274.4,47.7
23,RAC,real,See Table 3 (compiled sources),350.0,0.36,56.0,1.0,0.0,0.0,0.0,1.0,59.7,6.96,5.66,10.64,8.7,281.4,70.8
24,RAC,real,See Table 3 (compiled sources),537.0,0.41,28.0,30.0,0.0,0.0,0.0,30.0,55.9,6.7,4.97,16.68,6.6,411.7,82.7
25,RCWTB,augmented_literature_based,This study (synthetic augmentation),498.9,0.339,56.0,34.3,14.5,0.0,0.0,48.8,64.5,7.78,6.0,10.39,9.7,373.9,79.7
26,RAC,real,See Table 3 (compiled sources),350.0,0.37,3.0,1.0,0.0,0.0,0.0,1.0,29.2,3.36,2.59,16.54,6.9,283.6,51.3
27,RAC,real,See Table 3 (compiled sources),280.0,0.5,3.0,2.0,0.0,0.0,0.0,2.0,27.8,2.99,2.47,21.91,5.0,224.5,44.0
28,RCWTB,augmented_literature_based,This study (synthetic augmentation),444.4,0.345,90.0,23.7,17.0,0.0,0.0,40.7,72.5,9.0,6.0,6.54,10.0,334.8,70.2
29,RAC,real,See Table 3 (compiled sources),578.0,0.294,7.0,100.0,0.0,0.0,0.0,100.0,53.5,6.42,4.69,19.25,6.6,384.0,64.2
30,RAC,real,See Table 3 (compiled sources),400.0,0.519,28.0,30.0,0.0,0.0,0.0,30.0,37.0,5.01,3.06,22.87,5.1,297.8,49.3
31,RAC,real,See Table 3 (compiled sources),210.0,0.57,28.0,2.0,0.0,0.0,0.0,2.0,38.2,4.65,3.16,21.76,5.7,169.0,35.6
32,Ceramic,real,See Table 3 (compiled sources),550.0,0.35,28.0,0.0,0.0,50.0,0.0,50.0,42.1,4.95,3.75,9.11,10.0,415.1,73.1
33,RAC,real,See Table 3 (compiled sources),350.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,56.7,6.68,5.13,11.63,7.6,276.2,67.8
34,RAC,real,See Table 3 (compiled sources),500.0,0.35,56.0,1.0,0.0,0.0,0.0,1.0,65.8,8.1,5.76,8.72,8.6,409.8,85.3
35,RAC,real,See Table 3 (compiled sources),300.0,0.683333333,28.0,0.0,0.0,0.0,0.0,0.0,34.5,3.74,3.19,25.65,4.5,250.8,55.4
36,RAC,real,See Table 3 (compiled sources),350.0,0.514285714,28.0,100.0,0.0,0.0,0.0,100.0,47.6,5.68,4.21,26.2,4.8,198.1,37.6
37,RCWTB,augmented_literature_based,This study (synthetic augmentation),454.3,0.565,28.0,26.1,14.7,0.0,0.0,40.8,48.0,5.44,4.39,22.25,6.3,341.6,68.0
38,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,20.0,0.0,0.0,0.0,20.0,38.0,4.89,3.43,23.31,5.4,300.3,57.0
39,RAC,real,See Table 3 (compiled sources),537.0,0.41,3.0,30.0,0.0,0.0,0.0,30.0,32.6,3.15,2.97,19.71,6.6,409.1,71.0
40,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.36,28.0,0.0,0.0,0.0,0.0,0.0,48.4,5.79,4.64,12.47,8.0,306.7,64.5
41,Plastic,real,See Table 3 (compiled sources),317.0,0.55,28.0,0.0,0.0,0.0,0.6,0.6,22.9,2.75,2.12,23.63,5.3,251.8,51.4
42,RCWTB,augmented_literature_based,This study (synthetic augmentation),440.3,0.414,14.0,36.2,13.8,0.0,0.0,50.0,55.4,6.99,4.73,16.59,7.2,320.1,68.8
43,Combined,augmented_literature_based,This study (synthetic augmentation),358.6,0.432,14.0,26.5,7.4,10.6,5.8,50.3,53.0,6.02,4.94,16.77,7.9,256.6,54.7
44,RAC,real,See Table 3 (compiled sources),450.0,0.34,3.0,2.0,0.0,0.0,0.0,2.0,45.6,5.06,4.11,14.08,7.3,363.7,68.5
45,RAC,real,See Table 3 (compiled sources),280.0,0.46,28.0,1.0,0.0,0.0,0.0,1.0,41.7,4.79,4.12,18.78,6.4,230.5,46.3
46,RAC,real,See Table 3 (compiled sources),360.0,0.65,28.0,0.0,0.0,0.0,0.0,0.0,20.0,2.64,1.84,24.74,4.2,299.8,55.1
47,RAC,real,See Table 3 (compiled sources),210.0,0.52,56.0,2.0,0.0,0.0,0.0,2.0,45.1,5.12,3.99,17.65,6.6,166.6,34.0
48,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,40.0,0.0,0.0,0.0,40.0,33.5,3.75,3.42,25.77,4.2,274.2,47.6
49,RAC,real,See Table 3 (compiled sources),280.0,0.42,28.0,2.0,0.0,0.0,0.0,2.0,41.4,5.03,3.65,16.6,6.5,226.6,51.5
50,Ceramic,augmented_literature_based,This study (synthetic augmentation),355.1,0.467,56.0,26.9,0.0,10.4,0.0,37.3,52.4,6.09,4.78,16.24,7.7,262.4,57.8
51,RAC,real,See Table 3 (compiled sources),210.0,0.55,28.0,1.0,0.0,0.0,0.0,1.0,39.1,4.72,3.7,20.86,5.0,174.0,43.9
52,RAC,real,See Table 3 (compiled sources),417.15,0.45,7.0,0.0,0.0,0.0,0.0,0.0,14.7,2.0,1.5,22.17,5.4,339.8,44.8
53,RAC,real,See Table 3 (compiled sources),426.0,0.422535211,28.0,100.0,0.0,0.0,0.0,100.0,34.0,4.07,3.16,24.12,5.1,262.2,40.7
54,RAC,real,See Table 3 (compiled sources),424.0,0.45,60.0,100.0,0.0,0.0,0.0,100.0,46.7,5.42,3.82,23.57,5.3,260.9,47.8
55,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.55,28.0,0.0,0.0,0.0,0.0,0.0,42.0,4.98,3.39,20.45,6.0,311.8,64.8
56,RAC,real,See Table 3 (compiled sources),450.0,0.35,28.0,1.0,0.0,0.0,0.0,1.0,64.1,7.62,6.0,11.02,8.8,370.6,78.1
57,RAC,real,See Table 3 (compiled sources),300.0,0.58,28.0,1.0,0.0,0.0,0.0,1.0,40.5,4.34,3.75,21.34,5.1,242.9,54.0
58,RAC,real,See Table 3 (compiled sources),400.0,0.4,1.0,49.3,0.0,0.0,0.0,49.3,25.3,3.06,2.26,22.98,5.6,281.9,46.8
59,RAC,real,See Table 3 (compiled sources),280.0,0.52,28.0,0.0,0.0,0.0,0.0,0.0,43.6,5.41,3.87,19.29,6.1,230.9,53.1
60,RAC,real,See Table 3 (compiled sources),280.0,0.52,3.0,0.0,0.0,0.0,0.0,0.0,25.6,2.73,2.17,22.36,4.9,222.9,40.9
61,RAC,real,See Table 3 (compiled sources),350.0,0.35,28.0,2.0,0.0,0.0,0.0,2.0,55.3,6.71,4.96,10.56,7.9,283.2,61.6
62,Ceramic,augmented_literature_based,This study (synthetic augmentation),388.7,0.378,28.0,22.5,0.0,10.2,0.0,32.7,56.5,6.68,4.38,14.78,8.2,290.9,62.1
63,Plastic,augmented_literature_based,This study (synthetic augmentation),458.0,0.434,56.0,42.5,0.0,0.0,14.5,57.0,41.8,4.91,3.73,20.14,6.7,336.7,63.0
64,RAC,real,See Table 3 (compiled sources),210.0,0.58,56.0,2.0,0.0,0.0,0.0,2.0,41.9,5.11,3.79,20.94,5.8,173.0,45.2
65,RAC,real,See Table 3 (compiled sources),280.0,0.38,56.0,0.0,0.0,0.0,0.0,0.0,57.1,6.57,4.95,12.36,8.1,236.1,48.1
66,RAC,real,See Table 3 (compiled sources),450.0,0.34,56.0,2.0,0.0,0.0,0.0,2.0,80.2,9.0,6.0,8.7,8.6,366.2,93.0
67,RAC,real,See Table 3 (compiled sources),450.0,0.34,56.0,2.0,0.0,0.0,0.0,2.0,80.2,9.0,6.0,8.11,9.4,363.7,84.0
68,RAC,real,See Table 3 (compiled sources),350.0,0.35,28.0,1.0,0.0,0.0,0.0,1.0,53.4,5.78,4.69,12.35,7.9,291.4,68.0
69,Plastic,real,See Table 3 (compiled sources),380.0,0.45,28.0,0.0,0.0,0.0,15.0,15.0,28.0,3.46,2.55,20.02,6.3,297.6,47.6
70,RAC,real,See Table 3 (compiled sources),280.0,0.41,56.0,2.0,0.0,0.0,0.0,2.0,58.2,6.99,5.39,12.45,8.4,226.6,62.8
71,RAC,real,See Table 3 (compiled sources),500.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,65.0,7.77,5.7,9.27,8.7,406.7,78.3
72,RAC,real,See Table 3 (compiled sources),350.0,0.42,3.0,2.0,0.0,0.0,0.0,2.0,35.6,4.43,3.04,16.35,6.2,279.0,57.5
73,RAC,real,See Table 3 (compiled sources),280.0,0.4,56.0,1.0,0.0,0.0,0.0,1.0,58.6,7.07,5.49,12.42,8.7,223.2,52.2
74,RAC,real,See Table 3 (compiled sources),450.0,0.33,28.0,0.0,0.0,0.0,0.0,0.0,69.9,8.91,6.0,9.73,8.4,372.2,80.8
75,RAC,real,See Table 3 (compiled sources),380.0,0.3,28.0,100.0,0.0,0.0,0.0,100.0,69.2,8.31,6.0,14.62,7.3,219.2,43.5
76,RAC,real,See Table 3 (compiled sources),300.0,0.4,28.0,45.5,0.0,0.0,0.0,45.5,32.1,4.0,3.5,20.66,6.0,206.3,35.1
77,Ceramic,augmented_literature_based,This study (synthetic augmentation),496.6,0.47,14.0,24.2,0.0,23.0,0.0,47.2,52.4,5.89,4.82,17.5,8.0,368.7,67.1
78,RAC,real,See Table 3 (compiled sources),350.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,26.8,3.44,2.29,15.64,7.0,289.2,49.7
79,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.57,28.0,100.0,0.0,0.0,0.0,100.0,46.8,5.09,4.11,28.46,3.7,219.4,43.1
80,Combined,augmented_literature_based,This study (synthetic augmentation),432.0,0.56,90.0,31.5,14.7,13.6,5.8,65.6,53.2,6.37,4.81,16.65,9.1,302.4,58.6
81,RAC,real,See Table 3 (compiled sources),159.0,1.069,7.0,100.0,0.0,0.0,0.0,100.0,12.0,2.0,1.5,30.0,1.4,80.0,15.0
82,RAC,real,See Table 3 (compiled sources),380.0,0.55,28.0,50.0,0.0,0.0,0.0,50.0,36.4,4.49,3.54,23.6,4.8,264.2,47.6
83,RAC,real,See Table 3 (compiled sources),500.0,0.34,3.0,1.0,0.0,0.0,0.0,1.0,41.4,4.9,3.76,14.64,7.0,417.0,78.7
84,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),413.6,0.407,90.0,31.8,16.8,0.0,0.0,48.6,68.3,7.81,5.81,10.27,10.0,298.1,71.7
85,RAC,real,See Table 3 (compiled sources),350.0,0.33,56.0,1.0,0.0,0.0,0.0,1.0,55.0,6.2,5.12,10.86,9.0,283.1,62.5
86,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.43,28.0,33.0,0.0,0.0,0.0,33.0,34.1,4.4,3.33,20.38,5.9,282.6,41.6
87,RAC,real,See Table 3 (compiled sources),147.5,1.3,60.0,100.0,0.0,0.0,0.0,100.0,25.9,2.95,2.28,30.0,1.2,80.0,15.0
88,RAC,real,See Table 3 (compiled sources),400.0,0.52,7.0,1.5,0.0,0.0,0.0,1.5,33.9,4.39,3.04,21.06,5.1,333.9,62.9
89,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",437.5,0.4,28.0,0.0,0.0,0.0,0.0,0.0,38.0,4.75,3.23,16.48,7.1,360.6,70.4
90,RAC,real,See Table 3 (compiled sources),380.0,0.61,28.0,30.0,0.0,0.0,0.0,30.0,37.5,4.52,3.36,26.15,4.3,283.5,55.9
91,RAC,real,See Table 3 (compiled sources),300.0,0.58,56.0,1.0,0.0,0.0,0.0,1.0,46.4,5.08,4.05,21.16,5.9,243.1,54.0
92,RAC,real,See Table 3 (compiled sources),350.0,0.33,28.0,1.0,0.0,0.0,0.0,1.0,49.9,5.72,4.51,11.15,7.9,285.4,61.9
93,Ceramic,real,See Table 3 (compiled sources),380.0,0.44,28.0,0.0,0.0,10.0,0.0,10.0,39.8,6.4,6.19,14.64,8.1,300.4,63.1
94,RAC,real,See Table 3 (compiled sources),274.0,0.696,60.0,100.0,0.0,0.0,0.0,100.0,46.4,6.01,4.33,30.0,3.7,143.1,26.0
95,RAC,real,"Hoang 2024, Mathematics (Ref 9)",161.0,0.894,3.0,0.0,0.0,0.0,0.0,0.0,19.0,2.37,1.5,30.0,1.8,134.6,23.3
96,RAC,real,See Table 3 (compiled sources),300.0,0.55,28.0,23.0,0.0,0.0,0.0,23.0,42.0,5.23,4.02,22.9,5.5,220.2,41.0
97,RAC,real,See Table 3 (compiled sources),500.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,67.1,7.92,5.93,9.84,8.4,403.6,87.6
98,RAC,real,See Table 3 (compiled sources),400.0,0.41,28.0,1.0,0.0,0.0,0.0,1.0,59.1,7.65,5.45,13.67,7.5,316.1,76.7
99,Combined,augmented_literature_based,This study (synthetic augmentation),491.9,0.518,28.0,34.8,9.6,7.6,4.9,56.9,50.3,6.54,4.42,19.41,6.6,362.1,62.5
100,RAC,real,See Table 3 (compiled sources),321.0,0.751,28.0,0.0,0.0,0.0,0.0,0.0,35.3,4.58,3.48,28.43,3.3,271.3,44.6
101,RAC,real,See Table 3 (compiled sources),380.0,0.45,28.0,1.0,0.0,0.0,0.0,1.0,54.0,6.37,5.24,15.23,7.1,306.1,68.2
102,RAC,real,See Table 3 (compiled sources),280.0,0.41,3.0,2.0,0.0,0.0,0.0,2.0,25.6,2.96,2.44,17.43,6.7,229.4,44.7
103,RAC,real,See Table 3 (compiled sources),380.0,0.45,3.0,1.0,0.0,0.0,0.0,1.0,35.9,4.27,3.06,18.85,6.3,315.5,62.1
104,RAC,real,See Table 3 (compiled sources),500.0,0.4286,7.0,8.4,0.0,0.0,0.0,8.4,35.8,3.79,3.05,16.56,7.0,398.1,73.3
105,Ceramic,augmented_literature_based,This study (synthetic augmentation),462.5,0.574,28.0,47.9,0.0,9.1,0.0,57.0,43.0,4.99,4.04,24.57,4.5,332.8,57.4
106,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.67,28.0,0.0,0.0,0.0,0.0,0.0,23.6,5.2,2.17,26.46,4.0,303.8,47.9
107,Plastic,augmented_literature_based,This study (synthetic augmentation),316.3,0.389,28.0,24.1,0.0,0.0,12.3,36.4,46.5,5.72,4.18,16.83,6.9,232.8,56.9
108,Plastic,augmented_literature_based,This study (synthetic augmentation),451.5,0.4,90.0,47.8,0.0,0.0,10.4,58.2,55.2,6.64,4.94,15.37,7.9,321.3,62.9
109,RAC,real,See Table 3 (compiled sources),410.0,0.549,1.0,100.0,0.0,0.0,0.0,100.0,9.9,2.0,1.5,30.0,3.7,244.5,25.7
110,RAC,real,See Table 3 (compiled sources),378.0,0.45,3.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.5,21.86,5.3,305.2,53.3
111,RAC,real,See Table 3 (compiled sources),450.0,0.33,3.0,2.0,0.0,0.0,0.0,2.0,44.5,4.84,4.08,14.09,7.0,368.4,69.7
112,RAC,real,See Table 3 (compiled sources),388.0,0.299,7.0,0.0,0.0,0.0,0.0,0.0,42.6,5.61,3.78,13.48,7.8,320.1,65.6
113,RAC,real,"Hoang 2024, Mathematics (Ref 9)",144.0,0.421,28.0,25.0,0.0,0.0,0.0,25.0,23.9,2.47,2.34,19.2,6.3,98.8,22.4
114,RAC,real,See Table 3 (compiled sources),537.0,0.41,7.0,30.0,0.0,0.0,0.0,30.0,39.2,4.86,3.45,20.46,5.6,415.4,76.4
115,RAC,real,See Table 3 (compiled sources),413.0,0.513,28.0,23.3,0.0,0.0,0.0,23.3,49.0,5.63,4.56,18.75,6.2,316.9,53.2
116,RAC,real,See Table 3 (compiled sources),350.0,0.37,28.0,1.0,0.0,0.0,0.0,1.0,44.5,5.15,3.89,13.58,7.1,284.7,63.7
117,RAC,real,See Table 3 (compiled sources),513.0,0.4,7.0,0.0,0.0,0.0,0.0,0.0,25.6,3.59,2.47,17.13,7.3,412.8,77.1
118,RAC,real,See Table 3 (compiled sources),380.0,0.47,7.0,0.0,0.0,0.0,0.0,0.0,24.3,2.81,2.06,19.62,6.5,309.7,51.2
119,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.64,28.0,0.0,0.0,0.0,0.0,0.0,33.0,4.57,3.21,24.11,4.7,315.5,66.0
120,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.59,28.0,20.0,0.0,0.0,0.0,20.0,49.3,5.49,4.23,23.85,5.1,296.4,58.1
121,Ceramic,augmented_literature_based,This study (synthetic augmentation),347.0,0.332,90.0,37.5,0.0,12.1,0.0,49.6,68.6,8.28,6.0,8.11,10.0,245.8,57.8
122,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",400.0,0.45,28.0,100.0,0.0,0.0,0.0,100.0,45.1,5.47,4.12,24.11,5.6,249.5,42.5
123,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.76,28.0,100.0,0.0,0.0,0.0,100.0,21.1,2.16,2.02,30.0,3.1,230.5,36.3
124,Plastic,real,See Table 3 (compiled sources),430.0,0.529,28.0,89.9,0.0,0.0,0.0,89.9,37.7,4.28,3.51,27.68,4.3,270.2,46.6
125,RAC,real,See Table 3 (compiled sources),500.0,0.34,28.0,1.0,0.0,0.0,0.0,1.0,63.8,7.97,5.76,11.79,7.7,413.1,80.1
126,RAC,real,See Table 3 (compiled sources),380.0,0.5,28.0,50.0,0.0,0.0,0.0,50.0,45.0,5.35,4.1,22.66,5.6,260.8,46.3
127,RAC,real,See Table 3 (compiled sources),380.0,0.5,28.0,50.0,0.0,0.0,0.0,50.0,59.1,7.23,5.0,20.15,6.0,264.9,55.3
128,RAC,real,See Table 3 (compiled sources),280.0,0.38,56.0,0.0,0.0,0.0,0.0,0.0,57.1,6.62,5.3,10.89,8.5,232.3,59.3
129,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.36,28.0,0.0,0.0,0.0,0.0,0.0,52.3,5.43,4.26,10.48,8.7,313.1,69.2
130,RAC,real,"Mahmoudian, Bypour & Kontoni 2024, Asian J. Civil Eng. (Ref 45)",500.0,0.3753999999999999,28.0,100.0,0.0,0.0,0.0,100.0,60.9,7.49,5.44,18.72,7.0,308.2,55.7
131,RCWTB,augmented_literature_based,This study (synthetic augmentation),414.6,0.593,7.0,29.4,9.4,0.0,0.0,38.8,44.6,5.96,4.42,23.98,5.4,302.6,57.0
132,RCWTB_FreezeThaw,augmented_literature_based,This study (synthetic augmentation),431.5,0.507,56.0,42.5,14.6,0.0,0.0,57.1,54.7,6.16,5.25,17.82,7.8,311.2,65.4
133,RAC,real,See Table 3 (compiled sources),280.0,0.38,28.0,0.0,0.0,0.0,0.0,0.0,49.5,6.13,4.28,13.28,8.1,229.7,60.3
134,RAC,real,See Table 3 (compiled sources),210.0,0.53,3.0,2.0,0.0,0.0,0.0,2.0,17.5,2.11,1.69,23.71,5.0,174.2,35.8
135,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.41,28.0,0.0,0.0,0.0,0.0,0.0,71.1,8.48,6.0,11.39,7.9,313.7,70.8
136,RAC,real,See Table 3 (compiled sources),350.0,0.34,3.0,2.0,0.0,0.0,0.0,2.0,26.6,2.93,2.22,15.92,6.6,288.9,49.8
137,RAC,real,See Table 3 (compiled sources),450.0,0.34,28.0,2.0,0.0,0.0,0.0,2.0,67.0,8.11,6.0,11.39,8.1,364.5,72.9
138,RAC,real,"Yuan et al. 2022, Materials (Ref 47, compiled from 68 sources - see their Table S1)",380.0,0.54,28.0,100.0,0.0,0.0,0.0,100.0,45.0,5.68,4.39,26.08,4.8,223.8,38.3
139,Plastic,augmented_literature_based,This study (synthetic augmentation),470.4,0.585,56.0,29.8,0.0,0.0,11.7,41.5,43.0,5.12,4.05,24.35,5.5,351.9,64.3
140,RAC,real,See Table 3 (compiled sources),280.0,0.41,3.0,2.0,0.0,0.0,0.0,2.0,25.6,2.79,2.5,18.43,6.3,224.8,48.0
141,RAC,real,"Hoang 2024, Mathematics (Ref 9)",150.0,0.933,90.0,0.0,0.0,0.0,0.0,0.0,19.5,2.02,1.86,30.0,3.1,116.5,32.2
142,RAC,real,See Table 3 (compiled sources),350.0,0.34,3.0,1.0,0.0,0.0,0.0,1.0,29.2,3.86,2.19,15.38,7.6,290.4,49.4
143,Ceramic,augmented_literature_based,This study (synthetic augmentation),325.9,0.316,90.0,21.7,0.0,22.7,0.0,44.4,73.1,8.97,6.0,5.35,10.0,236.6,56.6
144,RAC,real,"Hoang 2024, Mathematics (Ref 9)",285.0,0.368,28.0,100.0,0.0,0.0,0.0,100.0,16.2,2.0,1.5,25.43,5.9,151.8,15.0
145,RAC,real,See Table 3 (compiled sources),280.0,0.44,3.0,2.0,0.0,0.0,0.0,2.0,23.1,2.57,1.58,20.74,5.9,232.8,39.6
146,RAC,real,See Table 3 (compiled sources),280.0,0.43,56.0,1.0,0.0,0.0,0.0,1.0,50.7,6.24,4.6,13.9,7.1,242.7,57.2
147,Combined,augmented_literature_based,This study (synthetic augmentation),487.4,0.373,28.0,27.1,13.1,7.1,3.0,50.3,60.3,7.11,5.06,12.53,9.3,361.7,73.6
148,RAC,real,See Table 3 (compiled sources),210.0,0.51,3.0,1.0,0.0,0.0,0.0,1.0,18.4,2.59,1.59,23.6,5.1,163.3,37.8
149,Plastic,real,See Table 3 (compiled sources),380.0,0.45,28.0,0.0,0.0,0.0,0.0,0.0,30.6,6.22,2.85,19.21,6.3,308.4,63.2
150,RAC,real,See Table 3 (compiled sources),300.0,0.53,3.0,1.0,0.0,0.0,0.0,1.0,24.4,2.69,2.12,23.7,4.8,253.5,42.0
151,RAC,real,See Table 3 (compiled sources),380.0,0.3,28.0,100.0,0.0,0.0,0.0,100.0,57.9,6.48,4.87,17.1,7.2,218.4,44.3
152,RAC,real,See Table 3 (compiled sources),450.0,0.33,28.0,2.0,0.0,0.0,0.0,2.0,68.3,8.54,6.0,9.26,8.3,369.4,84.7
153,RAC,real,See Table 3 (compiled sources),380.0,0.45,28.0,20.0,0.0,0.0,0.0,20.0,62.4,7.44,5.59,16.07,6.6,288.0,64.3
154,RAC,real,See Table 3 (compiled sources),350.0,0.33,56.0,2.0,0.0,0.0,0.0,2.0,69.8,8.44,6.0,7.3,8.8,291.5,72.2
155,RCWTB,augmented_literature_based,This study (synthetic augmentation),303.0,0.534,90.0,32.8,10.1,0.0,0.0,42.9,59.8,7.22,4.94,16.52,8.0,212.6,51.5
156,RCWTB,augmented_literature_based,This study (synthetic augmentation),463.5,0.411,90.0,29.7,18.2,0.0,0.0,47.9,65.8,8.16,5.84,9.26,10.0,347.5,72.1
157,RAC,real,See Table 3 (compiled sources),210.0,0.51,56.0,1.0,0.0,0.0,0.0,1.0,34.7,3.91,2.95,18.3,6.4,172.5,38.7
158,RAC,real,See Table 3 (compiled sources),380.0,0.5,28.0,0.0,0.0,0.0,0.0,0.0,48.2,5.74,4.33,17.61,6.7,303.8,70.5
159,RAC,real,See Table 3 (compiled sources),280.0,0.42,56.0,2.0,0.0,0.0,0.0,2.0,55.3,7.2,4.9,12.51,7.8,217.8,53.5
160,RAC,real,See Table 3 (compiled sources),400.0,0.44,56.0,2.0,0.0,0.0,0.0,2.0,61.8,7.47,5.44,12.71,7.7,321.1,79.5
